Time;Tdry;Iet_h;Iet_n;Igl_h;Idir_n;Idif_h;Tdry_mod;Tdry_Ideal;;;
14/1/2002 03;4,7;0;1414;0;0;0;2,341;-3,316;;;
14/1/2002 04;5;0;1414;0;0;0;2,338;-2,541;;;
14/1/2002 05;5,2;0;1414;0;0;0;2,336;-1,521;;;
14/1/2002 06;5,5;0;1414;0;0;0;2,334;-0,325;;;
14/1/2002 07;6,3;0;1414;0;0;0;2,332;0,964;;;
14/1/2002 08;7,1;45;1414;3;0;3;2,331;2,26;;;
14/1/2002 09;7,9;229;1414;25;0;25;2,33;3,473;;;
14/1/2002 10;8,7;384;1414;54;0;54;2,33;4,522;;;
14/1/2002 11;9,5;487;1414;75;0;75;2,33;5,334;;;
14/1/2002 12;10,3;532;1414;85;0;85;2,331;5,855;;;
14/1/2002 13;10,6;516;1414;81;0;81;2,333;6,048;;;
14/1/2002 14;10,8;438;1414;65;0;65;2,334;5,901;;;
14/1/2002 15;11,1;306;1414;39;0;39;2,336;5,424;;;
14/1/2002 16;9,8;127;1414;10;0;10;2,336;4,649;;;
14/1/2002 17;8,4;1;1414;0;0;0;2,336;3,628;;;
14/1/2002 18;7,1;0;1414;0;0;0;2,336;2,432;;;
14/1/2002 19;7,4;0;1414;0;0;0;2,335;1,142;;;
14/1/2002 20;7,8;0;1414;0;0;0;2,334;-0,155;;;
14/1/2002 21;8,1;0;1414;0;0;0;2,334;-1,371;;;
14/1/2002 22;6,9;0;1414;0;0;0;2,332;-2,422;;;
14/1/2002 23;5,6;0;1414;0;0;0;2,331;-3,237;;;
15/1/2002 00;4,4;0;1414;0;0;0;2,329;-3,761;;;
15/1/2002 01;4,8;0;1414;0;0;0;2,326;-3,958;;;
15/1/2002 02;5,1;0;1414;0;0;0;2,324;-3,815;;;
15/1/2002 03;5,5;0;1414;0;0;0;2,322;-3,341;;;
15/1/2002 04;5,4;0;1414;0;0;0;2,32;-2,569;;;
15/1/2002 05;5,2;0;1414;0;0;0;2,318;-1,551;;;
15/1/2002 06;5,1;0;1414;0;0;0;2,316;-0,357;;;
15/1/2002 07;4,7;0;1414;0;0;0;2,314;0,932;;;
15/1/2002 08;4,3;47;1414;8;0;8;2,313;2,228;;;
15/1/2002 09;3,9;231;1414;47;0;47;2,312;3,443;;;
15/1/2002 10;4,4;387;1414;85;0;85;2,311;4,494;;;
15/1/2002 11;5;491;1414;98;0;98;2,312;5,31;;;
15/1/2002 12;5,5;536;1414;86;0;86;2,313;5,834;;;
15/1/2002 13;4,9;520;1414;82;0;82;2,313;6,032;;;
15/1/2002 14;4,3;443;1414;66;0;66;2,314;5,89;;;
15/1/2002 15;3,7;310;1414;40;0;40;2,316;5,416;;;
15/1/2002 16;3,2;131;1414;16;0;16;2,316;4,645;;;
15/1/2002 17;2,7;2;1414;0;0;0;2,316;3,627;;;
15/1/2002 18;2,2;0;1414;0;0;0;2,314;2,433;;;
15/1/2002 19;2,7;0;1414;0;0;0;2,313;1,143;;;
15/1/2002 20;3,1;0;1414;0;0;0;2,31;-0,155;;;
15/1/2002 21;3,6;0;1414;0;0;0;2,307;-1,372;;;
15/1/2002 22;3,5;0;1414;0;0;0;2,304;-2,425;;;
15/1/2002 23;3,3;0;1414;0;0;0;2,3;-3,243;;;
16/1/2002 00;3,2;0;1414;0;0;0;2,296;-3,771;;;
16/1/2002 01;3,3;0;1414;0;0;0;2,291;-3,972;;;
